respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Language Competency,SQL Competency,RDBMS Competency
136,2020-02-27 23:12:02 UTC,Friday 10am class SIT 116,2nd year in Bachelor of Adv Computing,2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",Microsoft Access
137,2020-02-27 23:11:21 UTC,Fri 10AM,Exchange,3,Basic understanding,Yes,"C++,C#","Heard of it, but never used it.",
138,2020-02-27 23:10:50 UTC,Friday 10am B,Bachelor of Advanced Computing - Year 2,1,Competent Python programmer (familiar with eg. functions and classes),No,Java,Can interpret some SQL statements.,"Oracle,SQLite"
139,2020-02-27 23:10:16 UTC,Friday 4-6pm,"BSci/Adv Studies, Year 2, major Chemistry and Data Science",1,Written some simple Python programs,Yes,R,Never heard of SQL.,
140,2020-02-27 23:09:58 UTC,Friday 10pm SIT Lab 116,Bachelor of Science (Computer Science & Data Science) - Year 2,0.5,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",
141,2020-02-27 23:09:29 UTC,F10C,"Bachelor of Advanced Computing, Second Year",1,Competent Python programmer (familiar with eg. functions and classes),No,Java,Can interpret some SQL statements.,Microsoft Access
142,2020-02-27 23:09:24 UTC,F10C,Adv Computing/Science (Medical Science) in 2nd year.,1,Competent Python programmer (familiar with eg. functions and classes),No,Other (answer below in comment),"Heard of it, but never used it.",Other (answer as comment below)
143,2020-02-27 23:08:57 UTC,Friday 10-12 SIT lab 116,2nd Year Psychology,1,Written some simple Python programs,No,,Never heard of SQL.,
144,2020-02-27 23:08:20 UTC,F10C,"Advanced Computing, 2nd Year",2,Competent Python programmer (familiar with eg. functions and classes),No,"C,Java,R",Can interpret some SQL statements.,"PostgreSQL,SQLite"
145,2020-02-27 23:06:53 UTC,Friday 10am-12pm SIT LAB 117,"Bachelor of Economics and Bachelor of Advanced Studies.

2nd year? (Transferred after doing 1 year of B Advanced Computing in 2019)",2,Written some simple Python programs,No,R,"Heard of it, but never used it.",Microsoft Access
146,2020-02-27 23:06:29 UTC,F10_SIT114,"Advanced Computing (Data Science), 1 Year Semester 1 (but overall second Semester)",2,Competent Python programmer (familiar with eg. functions and classes),No,"C,Java,R","Heard of it, but never used it.",
147,2020-02-27 22:23:39 UTC,I am in the tutorial class that starts at 8am on Friday's. ,"I am completing a bachelor of science, this is my first semester at University of Sydney and have completed 1 semester at UTS. ",2,Basic understanding,No,Java,Can already create tables and write complex SQL queries.,SQLite
148,2020-02-27 21:36:08 UTC,F14C,Bachelor of Science 2nd Year,2,Competent Python programmer (familiar with eg. functions and classes),No,"Matlab,R","Heard of it, but never used it.",
149,2020-02-27 21:35:05 UTC,DATA2001 - Data science: Big data and data diversity ,In 1st year second semester.,,Written some simple Python programs,No,Other (answer below in comment),Can interpret some SQL statements.,Oracle
150,2020-02-27 21:30:21 UTC,F08C,"I'm studying Computer Science and Engineering at the University Carlos III of Madrid, in Spain. I'm an exchange student, and back home, I'm in my third year of the degree.",3,Competent Python programmer (familiar with eg. functions and classes),No,"C,C++,Java,Javascript/ECMAScript,Other (answer below in comment)",Written some SQL queries already.,Oracle
151,2020-02-27 21:26:47 UTC,Friday 8am SIT117,Advanced Computing (2nd),2,None,No,"Java,Matlab,R",Can interpret some SQL statements.,MySQL
152,2020-02-27 21:26:36 UTC,Yes,"Bachelor of Advanced Computing, second year",2,Have written complex Python programs already.,No,"Java,Javascript/ECMAScript",Can interpret some SQL statements.,"MySQL,SQLite"
153,2020-02-27 21:26:13 UTC,"Data 2001, 8-10 on Friday, SIT Lab 117","Data Science Major, second year.",4,Competent Python programmer (familiar with eg. functions and classes),No,"C,C#,Java,R,Visual Basic",Written some SQL queries already.,"Microsoft Access,MySQL,Oracle"
154,2020-02-27 21:25:56 UTC,F08A,Bachelor of Software Engineering and Science. 3rd year,3,Competent Python programmer (familiar with eg. functions and classes),Yes,Java,Written some SQL queries already.,PostgreSQL
155,2020-02-27 21:25:50 UTC,"Data Science: Big Data and Data Diversity

 ","Mechatronics engineering, 4th year",2,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,C++,Java,Matlab,Visual Basic",Written some SQL queries already.,MySQL
156,2020-02-27 21:25:30 UTC,Fri. 8:00 a.m. SIT lab 116,"Im doing the software of engineering, and the second year",2,Competent Python programmer (familiar with eg. functions and classes),No,Java,Never heard of SQL.,
157,2020-02-27 21:25:15 UTC,F08A,"Comp Sci, 3rd yr",3,Written some simple Python programs,No,Java,Can interpret some SQL statements.,PostgreSQL
